,Country,Economy,Healthy,Social,Freedom,Corruption,Generosity,Score
0,Finland,1.305,0.8740000000000001,1.5919999999999999,0.6809999999999999,0.39299999999999996,0.20199999999999999,7.632000000000001
1,Norway,1.456,0.861,1.5819999999999999,0.6859999999999999,0.34,0.28600000000000003,7.593999999999999
2,Denmark,1.351,0.868,1.59,0.6829999999999999,0.408,0.284,7.555
3,Iceland,1.3430000000000002,0.914,1.6440000000000001,0.677,0.138,0.353,7.495
4,Switzerland,1.42,0.927,1.5490000000000002,0.66,0.35700000000000004,0.256,7.487
5,Netherlands,1.361,0.878,1.4880000000000002,0.638,0.295,0.33299999999999996,7.441
6,Canada,1.33,0.8959999999999999,1.5319999999999998,0.653,0.29100000000000004,0.321,7.327999999999999
7,New Zealand,1.268,0.8759999999999999,1.601,0.669,0.389,0.365,7.324
8,Sweden,1.355,0.9129999999999999,1.501,0.659,0.38299999999999995,0.285,7.314
9,Australia,1.34,0.91,1.5730000000000002,0.647,0.302,0.361,7.272
10,United Kingdom,1.244,0.888,1.433,0.46399999999999997,0.08199999999999999,0.262,7.19
11,Austria,1.341,0.8909999999999999,1.504,0.617,0.22399999999999998,0.242,7.138999999999999
12,Costa Rica,1.01,0.8170000000000001,1.459,0.632,0.10099999999999999,0.14300000000000002,7.072
13,Ireland,1.4480000000000002,0.8759999999999999,1.5830000000000002,0.614,0.306,0.307,6.977
14,Germany,1.34,0.861,1.474,0.586,0.28,0.273,6.965
15,Belgium,1.324,0.894,1.483,0.583,0.24,0.188,6.9270000000000005
16,Luxembourg,1.5759999999999998,0.8959999999999999,1.52,0.632,0.321,0.196,6.91
17,United States,1.3980000000000001,0.8190000000000001,1.4709999999999999,0.547,0.133,0.29100000000000004,6.886
18,Israel,1.301,0.883,1.5590000000000002,0.5329999999999999,0.272,0.354,6.814
19,United Arab Emirates,2.096,0.67,0.7759999999999999,0.284,,0.18600000000000003,6.774
20,Czech Republic,1.2329999999999999,0.8540000000000001,1.489,0.5429999999999999,0.034,0.064,6.711
21,Malta,1.27,0.884,1.525,0.645,0.142,0.376,6.627000000000001
22,France,1.2930000000000001,0.9079999999999999,1.466,0.52,0.17600000000000002,0.098,6.489
23,Mexico,1.038,0.7609999999999999,1.252,0.479,0.095,0.069,6.4879999999999995
24,Chile,1.131,0.8079999999999999,1.331,0.431,0.061,0.19699999999999998,6.476
25,Taiwan,1.365,0.857,1.436,0.418,0.078,0.151,6.441
26,Panama,1.112,0.759,1.4380000000000002,0.597,0.063,0.125,6.43
27,Brazil,0.986,0.675,1.474,0.493,0.08800000000000001,0.11,6.419
