,Country,Economy,Healthy,Social,Freedom,Corruption,Generosity,Score
0,Finland,1.34,0.986,1.587,0.596,0.39299999999999996,0.153,7.769
1,Denmark,1.383,0.996,1.5730000000000002,0.5920000000000001,0.41,0.252,7.6
2,Norway,1.4880000000000002,1.028,1.5819999999999999,0.603,0.341,0.271,7.553999999999999
3,Iceland,1.38,1.026,1.624,0.591,0.11800000000000001,0.354,7.494
4,Netherlands,1.396,0.9990000000000001,1.5219999999999998,0.557,0.298,0.322,7.4879999999999995
5,Switzerland,1.452,1.052,1.526,0.5720000000000001,0.34299999999999997,0.263,7.48
6,Sweden,1.3869999999999998,1.0090000000000001,1.4869999999999999,0.574,0.373,0.267,7.343
7,New Zealand,1.3030000000000002,1.026,1.557,0.585,0.38,0.33,7.307
8,Canada,1.365,1.0390000000000001,1.505,0.584,0.308,0.285,7.278
9,Austria,1.376,1.016,1.475,0.532,0.226,0.244,7.246
10,Australia,1.3719999999999999,1.036,1.548,0.557,0.29,0.332,7.228
11,Costa Rica,1.034,0.963,1.4409999999999998,0.5579999999999999,0.09300000000000001,0.14400000000000002,7.167000000000001
12,Israel,1.276,1.0290000000000001,1.455,0.371,0.08199999999999999,0.261,7.138999999999999
13,Luxembourg,1.609,1.012,1.479,0.526,0.316,0.19399999999999998,7.09
14,United Kingdom,1.3330000000000002,0.996,1.538,0.45,0.278,0.348,7.053999999999999
15,Ireland,1.499,0.9990000000000001,1.5530000000000002,0.516,0.31,0.298,7.021
16,Germany,1.3730000000000002,0.987,1.454,0.495,0.265,0.261,6.985
17,Belgium,1.3559999999999999,0.986,1.504,0.473,0.21,0.16,6.922999999999999
18,United States,1.433,0.8740000000000001,1.4569999999999999,0.45399999999999996,0.128,0.28,6.892
19,Czech Republic,1.2690000000000001,0.92,1.4869999999999999,0.457,0.036000000000000004,0.046,6.852
20,United Arab Emirates,1.5030000000000001,0.825,1.31,0.598,0.182,0.262,6.825
21,Malta,1.3,0.9990000000000001,1.52,0.564,0.151,0.375,6.726
22,Mexico,1.07,0.861,1.3230000000000002,0.433,0.073,0.07400000000000001,6.595
23,France,1.324,1.045,1.472,0.436,0.183,0.111,6.5920000000000005
24,Taiwan,1.368,0.914,1.43,0.35100000000000003,0.09699999999999999,0.242,6.446000000000001
25,Chile,1.159,0.92,1.369,0.35700000000000004,0.055999999999999994,0.187,6.444
26,Guatemala,0.8,0.746,1.2690000000000001,0.535,0.078,0.175,6.436
27,Saudi Arabia,1.403,0.795,1.357,0.439,0.132,0.08,6.375
28,Qatar,1.6840000000000002,0.871,1.3130000000000002,0.555,0.16699999999999998,0.22,6.374
29,Spain,1.286,1.062,1.484,0.36200000000000004,0.079,0.153,6.354
30,Panama,1.149,0.91,1.442,0.516,0.054000000000000006,0.109,6.321000000000001
31,Brazil,1.004,0.802,1.439,0.39,0.086,0.099,6.3
32,Uruguay,1.124,0.8909999999999999,1.465,0.523,0.15,0.127,6.292999999999999
33,Singapore,1.5719999999999998,1.141,1.463,0.556,0.45299999999999996,0.271,6.2620000000000005
34,El Salvador,0.794,0.789,1.242,0.43,0.07400000000000001,0.09300000000000001,6.252999999999999
35,Italy,1.294,1.0390000000000001,1.4880000000000002,0.231,0.03,0.158,6.223
36,Bahrain,1.3619999999999999,0.871,1.368,0.536,0.11,0.255,6.199
37,Slovakia,1.246,0.8809999999999999,1.504,0.33399999999999996,0.013999999999999999,0.121,6.1979999999999995
38,Trinidad & Tobago,1.2309999999999999,0.713,1.4769999999999999,0.489,0.016,0.185,6.192
39,Poland,1.206,0.884,1.4380000000000002,0.483,0.05,0.11699999999999999,6.182
40,Uzbekistan,0.745,0.7559999999999999,1.5290000000000001,0.631,0.24,0.322,6.1739999999999995
41,Lithuania,1.238,0.818,1.515,0.29100000000000004,0.042,0.043,6.149
42,Colombia,0.985,0.841,1.41,0.47,0.034,0.099,6.125
43,Slovenia,1.258,0.953,1.5230000000000001,0.564,0.057,0.14400000000000002,6.117999999999999
44,Nicaragua,0.6940000000000001,0.835,1.325,0.435,0.127,0.2,6.105
45,Kosovo,0.882,0.758,1.232,0.489,0.006,0.262,6.1
46,Argentina,1.092,0.8809999999999999,1.432,0.47100000000000003,0.05,0.066,6.086
47,Romania,1.162,0.825,1.232,0.462,0.005,0.083,6.07
48,Cyprus,1.263,1.042,1.2229999999999999,0.406,0.040999999999999995,0.19,6.046
49,Ecuador,0.912,0.868,1.3119999999999998,0.498,0.087,0.126,6.028
50,Kuwait,1.5,0.8079999999999999,1.319,0.493,0.09699999999999999,0.142,6.021
51,Thailand,1.05,0.828,1.409,0.557,0.027999999999999997,0.359,6.007999999999999
52,Latvia,1.187,0.812,1.465,0.264,0.064,0.075,5.94
53,South Korea,1.301,1.036,1.219,0.159,0.055999999999999994,0.175,5.895
54,Estonia,1.237,0.8740000000000001,1.528,0.495,0.161,0.10300000000000001,5.893
55,Jamaica,0.831,0.831,1.4780000000000002,0.49,0.027999999999999997,0.107,5.89
56,Mauritius,1.12,0.7979999999999999,1.402,0.498,0.06,0.215,5.888
57,Japan,1.327,1.088,1.419,0.445,0.14,0.069,5.886
58,Honduras,0.642,0.828,1.236,0.507,0.078,0.24600000000000002,5.86
59,Kazakhstan,1.173,0.7290000000000001,1.508,0.41,0.096,0.146,5.809
60,Bolivia,0.7759999999999999,0.706,1.209,0.511,0.064,0.13699999999999998,5.779
61,Hungary,1.2009999999999998,0.828,1.41,0.19899999999999998,0.02,0.081,5.757999999999999
62,Paraguay,0.855,0.777,1.475,0.514,0.08,0.184,5.742999999999999
63,Northern Cyprus,1.263,1.042,1.252,0.41700000000000004,0.162,0.191,5.718
64,Peru,0.96,0.8540000000000001,1.274,0.455,0.027000000000000003,0.083,5.697
65,Portugal,1.2209999999999999,0.9990000000000001,1.431,0.508,0.025,0.047,5.693
66,Pakistan,0.677,0.535,0.8859999999999999,0.313,0.098,0.22,5.653
67,Russia,1.183,0.726,1.452,0.33399999999999996,0.031,0.08199999999999999,5.648
68,Philippines,0.807,0.657,1.2930000000000001,0.5579999999999999,0.107,0.11699999999999999,5.631
69,Serbia,1.004,0.8540000000000001,1.383,0.282,0.039,0.13699999999999998,5.603
70,Moldova,0.685,0.7390000000000001,1.328,0.245,0.0,0.18100000000000002,5.529
71,Libya,1.044,0.6729999999999999,1.3030000000000002,0.41600000000000004,0.152,0.133,5.525
72,Montenegro,1.051,0.871,1.361,0.19699999999999998,0.08,0.142,5.523
73,Tajikistan,0.493,0.718,1.0979999999999999,0.389,0.14400000000000002,0.23,5.4670000000000005
74,Croatia,1.155,0.914,1.266,0.29600000000000004,0.022000000000000002,0.11900000000000001,5.432
75,Hong Kong,1.4380000000000002,1.122,1.2770000000000001,0.44,0.287,0.258,5.43
76,Dominican Republic,1.015,0.779,1.401,0.49700000000000005,0.10099999999999999,0.113,5.425
