,Country,Economy,Healthy,Social,Freedom,Corruption,Generosity,Score
0,Finland,1.285189509,0.961271405,1.499525905,0.66231674,0.477857262,0.159670442,7.808700085
1,Denmark,1.326948524,0.979332566,1.5034492019999999,0.665039897,0.49526032799999997,0.24279339600000002,7.645599842
2,Switzerland,1.39077425,1.040533185,1.4724034069999998,0.62895447,0.407945901,0.269055754,7.559899807000001
3,Iceland,1.326501608,1.000843406,1.5475674869999998,0.661980748,0.14454077199999998,0.362330228,7.504499912000001
4,Norway,1.42420733,1.0080718990000002,1.4951725009999999,0.670200884,0.43410056799999996,0.287985086,7.487999916000001
5,Netherlands,1.338946342,0.9756753440000001,1.463645935,0.61362648,0.368569762,0.336317569,7.448900223
6,Sweden,1.322235227,0.9864704609999999,1.4333477019999998,0.6502977010000001,0.442066371,0.272827893,7.353499889
7,New Zealand,1.242317915,1.008138299,1.48721838,0.646789908,0.46126827600000003,0.325726211,7.2996001239999995
8,Austria,1.317285538,1.000933528,1.437444925,0.6033688779999999,0.28125613899999996,0.255509764,7.294199944
9,Luxembourg,1.536676049,0.986442685,1.3875284190000001,0.610137045,0.367041469,0.19595392,7.2375001910000005
10,Canada,1.301647663,1.022501945,1.4353919030000002,0.644028127,0.35170185600000003,0.28152892,7.23210001
11,Australia,1.310396433,1.022607684,1.477146268,0.621877193,0.335996419,0.324973613,7.222799778
12,United Kingdom,1.273061037,0.97570008,1.457844973,0.525168657,0.322601646,0.37343344100000003,7.164500237
13,Israel,1.216463685,1.008052945,1.4032567740000002,0.42069947700000004,0.09989845,0.26686179600000004,7.128600121
14,Costa Rica,0.981107712,0.9396353359999999,1.374853611,0.6450177429999999,0.096362092,0.131266311,7.121399879
15,Ireland,1.446886778,0.975670695,1.470596433,0.587779939,0.37343326200000004,0.295426995,7.093699932000001
16,Germany,1.314184546,0.9721148009999999,1.3685437440000001,0.564274132,0.309362292,0.252037704,7.075799942000001
17,United States,1.37398684,0.831618011,1.4047867059999999,0.534608245,0.152284741,0.298143059,6.939599991000001
18,Czech Republic,1.212322354,0.89456445,1.40528667,0.505744576,0.049803223,0.046325929,6.9109001160000005
19,Belgium,1.2958427670000001,0.964901149,1.3986775880000002,0.499805421,0.208724052,0.146966159,6.863500117999999
20,United Arab Emirates,1.4310864209999998,0.787814438,1.251170993,0.652936101,0.220213518,0.28065598,6.790800095
21,Malta,1.2525132890000001,0.9720420240000001,1.442956924,0.633239031,0.17886407699999998,0.341180831,6.772799968999999
22,France,1.268129349,1.029714227,1.458839178,0.5140509010000001,0.227303237,0.112607703,6.663799762999999
23,Mexico,1.024387479,0.831601024,1.226333499,0.553892553,0.083133668,0.083094485,6.465000152999999
24,Taiwan Province of China,1.3274705409999998,0.8784379959999999,1.357760668,0.44940438899999996,0.131516352,0.150598705,6.45539999
25,Uruguay,1.071000457,0.856928885,1.425081134,0.59426707,0.19342507399999997,0.132143691,6.440100192999999
26,Saudi Arabia,1.334328532,0.759818137,1.309950113,0.548477471,0.163322315,0.087440684,6.406499863
27,Spain,1.230535269,1.051343083,1.421099186,0.425983816,0.109579779,0.16530548,6.4008998870000005
28,Guatemala,0.7538157109999999,0.705952585,1.174267054,0.613146722,0.09836030000000001,0.170611665,6.398900032
29,Italy,1.236396074,1.0225049259999999,1.3472959999999998,0.321305573,0.040145598,0.17026621100000003,6.38740015
30,Singapore,1.519580126,1.137814283,1.39545691,0.635317206,0.533162236,0.21877090600000001,6.377099991000001
31,Brazil,0.952679873,0.766119063,1.363464117,0.483292729,0.106518604,0.131674588,6.375599861
32,Slovenia,1.208652496,0.932548046,1.464677691,0.646700144,0.076516323,0.145701498,6.363399982000001
33,El Salvador,0.748940408,0.752730012,1.149397612,0.5240439179999999,0.11703035199999999,0.11893630000000001,6.34829998
34,Kosovo,0.8404813409999999,0.672709167,1.183962822,0.557280421,0.008559024,0.325286865,6.325200081
35,Panama,1.097667813,0.878546536,1.3761492969999998,0.57984978,0.054230525999999994,0.097207308,6.304800033999999
36,Slovakia,1.194837689,0.853465259,1.424331188,0.423542529,0.011291441000000001,0.11672977400000001,6.280600071
37,Uzbekistan,0.6966529490000001,0.716703713,1.4340200419999998,0.6932703259999999,0.280260265,0.36331102299999996,6.257599831
38,Chile,1.096992493,0.889260828,1.323286891,0.41748222700000004,0.06284935,0.155579001,6.228499889
39,Bahrain,1.296692252,0.838836372,1.31532371,0.610399902,0.12669725699999998,0.287453711,6.227300167
40,Lithuania,1.193559647,0.795421183,1.4328657390000001,0.42046079,0.081350274,0.053691040999999995,6.215499877999999
41,Trinidad and Tobago,1.167641521,0.658828557,1.407326221,0.55293113,0.015078396,0.199358255,6.1918997760000005
42,Poland,1.16922915,0.868038476,1.310399771,0.557903528,0.160541251,0.06337424400000001,6.1862998010000005
43,Colombia,0.93220371,0.8100201490000001,1.33445096,0.526890039,0.04584837,0.092374094,6.163400172999999
44,Cyprus,1.21279943,1.0261245970000001,1.149170756,0.45938587200000003,0.051207144,0.227932334,6.15899992
45,Nicaragua,0.620033145,0.803093255,1.27081275,0.560117304,0.174084574,0.212871477,6.13710022
46,Romania,1.1204016209999998,0.79229486,1.1944381000000002,0.534852326,0.0008295689999999999,0.068181619,6.123700142000001
47,Kuwait,1.424833655,0.776468933,1.244779825,0.5702614189999999,0.112814933,0.132751092,6.102099895
48,Mauritius,1.07366395,0.7633894090000001,1.3956668380000001,0.590838134,0.084088229,0.18689455100000002,6.101299762999999
49,Kazakhstan,1.122594237,0.6987889409999999,1.453267694,0.497432142,0.11046368599999999,0.15371379300000002,6.0578999520000005
50,Estonia,1.192441225,0.842615008,1.453232527,0.576664805,0.201766819,0.12513674800000002,6.0218000410000005
51,Philippines,0.7751206759999999,0.602189481,1.245381713,0.6219151620000001,0.13038572699999998,0.12926021199999999,6.006000042
52,Hungary,1.1643071170000001,0.806793869,1.4230093959999999,0.386401802,0.027548173,0.070491239,6.000400066
53,Thailand,1.007029295,0.7938558459999999,1.3475195169999998,0.609449804,0.031837862,0.376709014,5.9987998010000005
54,Argentina,1.028465629,0.849773705,1.3725436930000001,0.520840347,0.06041505900000001,0.070100471,5.974699974
55,Honduras,0.598763585,0.791989982,1.186664104,0.568148077,0.086807102,0.256528199,5.953199862999999
56,Latvia,1.14139545,0.7779024240000001,1.414398789,0.329198807,0.090391524,0.075407945,5.9499998089999995
57,Ecuador,0.853383601,0.838837743,1.221027613,0.555234551,0.086753383,0.115006477,5.925199986
58,Portugal,1.168800831,0.979315281,1.3395303490000001,0.5898951889999999,0.027733466000000002,0.053036947,5.9109001160000005
59,Jamaica,0.779058397,0.7884340879999999,1.408289194,0.553124607,0.030147785,0.116268493,5.889800072000001
60,South Korea,1.245300651,1.0225425959999999,1.133560538,0.25935635,0.09459628199999999,0.17030386600000003,5.872399807000001
61,Japan,1.26672411,1.072881341,1.332338691,0.495465875,0.18143963800000001,0.03571178,5.870800018
62,Peru,0.91854918,0.824444175,1.208405972,0.513210058,0.02703266,0.091611817,5.796800137000001
63,Serbia,0.9881818290000001,0.828403294,1.327448964,0.395428419,0.059447147,0.15028289,5.77820015
64,Bolivia,0.7309763429999999,0.6624456639999999,1.142350554,0.5744645,0.072942637,0.13837507400000001,5.747499942999999
65,Pakistan,0.616799474,0.46993324200000003,0.872979581,0.405421734,0.122592121,0.22870506300000001,5.69329977
66,Paraguay,0.897990823,0.7358696459999999,1.36819756,0.586510062,0.065077379,0.20429924100000002,5.6921000479999995
67,Dominican Republic,0.9831918479999999,0.7419016959999999,1.328888893,0.5628739,0.115945682,0.112196781,5.6891999239999995
68,Bosnia and Herzegovina,0.91839546,0.813928187,1.203986526,0.305365741,0.001172487,0.264005244,5.674099922000001
69,Moldova,0.7079167959999999,0.713299453,1.237312198,0.38957148799999997,0.014378743999999999,0.174049184,5.607500076
70,Tajikistan,0.474874616,0.680594802,1.218377709,0.521141171,0.221779913,0.182417125,5.555699825
71,Montenegro,1.010150075,0.839028895,1.265657902,0.303223848,0.09843511099999999,0.14901033,5.54610014
72,Russia,1.126999617,0.68044591,1.3786441090000001,0.399499595,0.045699362,0.099041916,5.546000004
73,Kyrgyzstan,0.513180971,0.680645883,1.341036677,0.614617765,0.030466691,0.30137074,5.541500092000001
74,Belarus,1.0188544990000001,0.75258857,1.38713932,0.29075586800000003,0.193607435,0.08993306,5.539899826
75,North Cyprus,1.21279943,1.0261245970000001,1.183089137,0.477885723,0.199802905,0.19916005399999998,5.53550005
76,Greece,1.128070116,0.979431748,1.168973565,0.17351634800000001,0.048844352,0.0,5.514999866
77,Hong Kong S.A.R. of China,1.3767460580000002,1.136630654,1.243584275,0.459356517,0.332485437,0.288280904,5.510399818
78,Croatia,1.109024286,0.900575578,1.311264873,0.38145688200000005,0.012325006000000001,0.113998979,5.504700184
79,Libya,1.021913767,0.615626633,1.196283698,0.45135405700000003,0.17225807899999998,0.14275769900000002,5.488800049
80,Mongolia,0.904872775,0.6157881620000001,1.4589306119999998,0.355703115,0.046533125999999994,0.26388573600000004,5.4562001229999995
81,Malaysia,1.168421626,0.7885118720000001,1.17400229,0.596941531,0.062163132999999995,0.274886161,5.384300232
82,Vietnam,0.718092382,0.819133997,1.253074765,0.650835574,0.089848459,0.136488721,5.353499889
83,Indonesia,0.891720712,0.610437036,1.1548008920000001,0.568161428,0.038278612999999996,0.542646527,5.285600185
84,Ivory Coast,0.537094414,0.154942513,0.7997272609999999,0.39712253200000003,0.09349579400000001,0.16991558699999998,5.233300208999999
85,Benin,0.366244704,0.328062952,0.352428436,0.40583989,0.125931874,0.196670428,5.21600008
86,Maldives,0.9378643040000001,0.9144395590000001,1.402287602,0.548203647,0.071906492,0.224198252,5.197599888
87,Congo (Brazzaville),0.633616745,0.45810112399999997,0.7576360109999999,0.386514395,0.118670784,0.11721601300000001,5.1943998339999995
88,Azerbaijan,0.990272701,0.731134057,1.180613041,0.467734724,0.24730718100000001,0.040113214,5.164800167
89,Macedonia,0.935371995,0.802994132,1.183173537,0.41022458700000003,0.024595059,0.18586354,5.1598000530000006
90,Ghana,0.575862467,0.432162255,0.96636796,0.47729006399999996,0.056570380999999996,0.261291206,5.1479997630000005
91,Nepal,0.444050372,0.66887939,1.100789309,0.480608255,0.127502963,0.300971806,5.137199879
92,Turkey,1.127169251,0.781335294,1.197159171,0.25440076,0.120983243,0.08588556900000001,5.131800175
93,China,0.990533412,0.867248535,1.132080674,0.6016051170000001,0.117255554,0.079021044,5.123899937
94,Turkmenistan,1.008963585,0.6124480370000001,1.510476947,0.515236676,0.03350389,0.323129326,5.119100093999999
95,Bulgaria,1.046554685,0.7777768970000001,1.4605789180000002,0.417820066,0.0,0.10383371300000001,5.101500034
